id_aluno,ano_ref,fase,fase_original,flag_fase_9,idade,idade_original,flag_idade_padronizada,genero_original,genero,ano_ingresso,instituicao_original,instituicao_tipo,instituicao_subtipo,flag_bolsa_parceria,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,matematica,portugues,ingles,flag_sem_avaliacao,fase_nome,delta_ida,delta_ieg,delta_inde,delta_ian,queda_ida,queda_ieg,queda_inde,ips_anterior,ida_anterior,ieg_anterior,perfil_defasagem,delta_ida_futuro,delta_ieg_futuro,delta_defasagem_futuro,risco_defasagem_futuro,tem_futuro
12,2022,7,7,0,17,17.0,0,Menina,Feminino,2020,Escola Pública,publica,sem_subtipo,0,Quartzo,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,Fase 7 (3º EM),0,2.7,1.1,0.7,0,Fase 7,,,,,0,0,0,,,,Adequado,,,0.0,0,True
12,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2020,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,6.9,1.5,4.0,Adequado,,,0.0,0,True
12,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
13,2022,7,7,0,18,18.0,0,Menino,Masculino,2016,Escola Pública,publica,sem_subtipo,0,Ágata,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,Fase 8 (Universitários),-1,3.5,5.5,5.2,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
13,2023,8,FASE 8,0,19,18.0,1,Masculino,Masculino,2016,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,4.7,7.4,Adequado,,,0.0,0,True
13,2024,8,8D,0,20,19.0,1,Masculino,Masculino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
14,2022,7,7,0,21,21.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Ágata,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,Fase 8 (Universitários),-1,8.0,0.0,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
14,2023,8,FASE 8,0,22,21.0,1,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,4.0,8.3,Adequado,,,0.0,0,True
14,2024,8,8E,0,23,22.0,1,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
15,2022,7,7,0,18,18.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Ametista,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,Fase 8 (Universitários),-1,8.0,6.5,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
16,2022,7,7,0,19,19.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Ágata,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,Fase 8 (Universitários),-1,7.0,0.0,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
17,2022,7,7,0,20,20.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,Fase 8 (Universitários),-1,9.0,6.5,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
17,2023,8,FASE 8,0,21,,1,Masculino,Masculino,2022,Privada - Pagamento por *Empresa Parceira,privada,empresa_parceira,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,7.8,10.0,Adequado,,,0.0,0,True
17,2024,8,8E,0,22,22.0,0,Masculino,Masculino,2022,Privada - Pagamento por *Empresa Parceira,privada,empresa_parceira,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
18,2022,7,7,0,19,19.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,Fase 8 (Universitários),-1,9.0,9.0,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
19,2022,7,7,0,19,19.0,0,Menina,Feminino,2022,Escola Pública,publica,sem_subtipo,0,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,Fase 8 (Universitários),-1,7.0,9.0,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,-0.20000000000000018,-0.09999999999999964,0.0,1,True
19,2023,7,FASE 7,0,20,19.0,1,Feminino,Feminino,2022,Nenhuma das opções acima,outros,outros,0,Ametista,7.710866667,7.9,9.4,5.63,7.75,7.8,8.1725,5.0,Fase 8 (Universitários),-1,7.7,7.0,8.8,0,Fase 7,-0.20000000000000018,-0.09999999999999964,0.045866667000000305,0.0,1,1,0,7.5,8.0,9.5,Defasagem leve,,-9.4,1.0,1,True
19,2024,8,8F,0,21,20.0,1,Feminino,Feminino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,-9.4,,5.0,0,1,0,5.63,7.8,9.4,Adequado,,,,,False
20,2022,7,7,0,19,19.0,0,Menina,Feminino,2022,Escola Pública,publica,sem_subtipo,0,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,Fase 8 (Universitários),-1,9.0,6.5,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
21,2022,7,7,0,18,18.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,Fase 8 (Universitários),-1,7.0,0.5,,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
21,2023,8,FASE 8,0,19,19.0,0,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,3.8,9.2,Adequado,,,0.0,0,True
21,2024,8,8E,0,20,20.0,0,Masculino,Masculino,2022,Privada - Pagamento por *Empresa Parceira,privada,empresa_parceira,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
22,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Rede Decisão,privada,sem_subtipo,0,Ametista,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,Fase 7 (3º EM),-1,9.0,3.1,7.8,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,,,False
23,2022,6,6,0,17,17.0,0,Menino,Masculino,2021,Escola Pública,publica,sem_subtipo,0,Ametista,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,Fase 7 (3º EM),-1,7.2,4.7,8.2,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,2.0,0,True
23,2023,8,FASE 8,0,18,,1,Masculino,Masculino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 7 (3° EM),1,,,,1,Fase 8,,,,5.0,0,0,0,8.1,6.7,8.2,Adiantado,,,-1.0,1,True
23,2024,8,8E,0,19,19.0,0,Masculino,Masculino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
24,2022,6,6,0,17,17.0,0,Menina,Feminino,2021,Rede Decisão,privada,sem_subtipo,0,Topázio,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,Fase 7 (3º EM),-1,10.0,6.3,9.7,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,,,False
25,2022,6,6,0,17,17.0,0,Menina,Feminino,2021,Escola Pública,publica,sem_subtipo,0,Ametista,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,Fase 7 (3º EM),-1,9.2,3.8,7.7,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
25,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,8.8,6.9,8.3,Adequado,,,0.0,0,True
25,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
26,2022,6,6,0,17,17.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Topázio,8.677,9.6,8.8,10.0,,8.0,10.0,5.0,Fase 7 (3º EM),-1,9.5,4.4,10.0,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,0.0,0,True
26,2023,7,FASE 7,0,18,,1,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,0.0,,7.52,,,,5.0,Fase 8 (Universitários),-1,,,,1,Fase 7,,,,0.0,0,0,0,10.0,8.0,8.8,Defasagem leve,,,1.0,0,True
26,2024,8,8F,0,19,19.0,0,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.52,,,Adequado,,,,,False
27,2022,6,6,0,17,17.0,0,Menino,Masculino,2016,Rede Decisão,privada,sem_subtipo,0,Ametista,7.124,0.0,7.6,8.1,,8.0,9.111,5.0,Fase 7 (3º EM),-1,7.7,6.3,10.0,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,-1.0999999999999996,0.10000000000000053,1.0,1,True
27,2023,7,FASE 7,0,17,,1,Masculino,Masculino,2016,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,Ametista,7.921266667,6.7,7.7,6.89,8.625,6.9,8.8825,10.0,Fase 7 (3° EM),0,7.0,5.8,8.0,0,Fase 7,-1.0999999999999996,0.10000000000000053,0.7972666670000006,5.0,1,0,0,8.1,8.0,7.6,Adequado,,-7.7,0.0,1,True
27,2024,8,8F,0,18,18.0,0,Masculino,Masculino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,-7.7,,0.0,0,1,0,6.89,6.9,7.7,Adequado,,,,,False
28,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Escola Pública,publica,sem_subtipo,0,Ágata,6.242,7.9,6.1,7.5,,5.0,6.333,5.0,Fase 7 (3º EM),-1,8.2,1.5,5.3,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,,,False
29,2022,6,6,0,17,17.0,0,Menino,Masculino,2022,Escola Pública,publica,sem_subtipo,0,Quartzo,4.985,0.0,4.0,8.8,,3.7,7.611,5.0,Fase 7 (3º EM),-1,6.3,1.1,3.8,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
29,2023,8,FASE 8,0,18,,1,Masculino,Masculino,2022,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,8.8,3.7,4.0,Adequado,,,0.0,0,True
29,2024,8,8E,0,19,19.0,0,Masculino,Masculino,2022,Privada - Pagamento por *Empresa Parceira,privada,empresa_parceira,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
30,2022,6,6,0,16,16.0,0,Menina,Feminino,2021,Escola Pública,publica,sem_subtipo,0,Ametista,7.605,8.8,6.4,7.5,,7.5,7.333,10.0,Fase 6 (2º EM),0,8.5,4.4,9.7,0,Fase 6,,,,,0,0,0,,,,Adequado,,,,,False
