id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
44,2023,6,18,-2,6.9,8.5,0.0,5.01,7.5,7.17,5.0,7.3,5.8,7.5,1
45,2022,5,15,0,6.8,8.9,7.9,5.6,,7.417,10.0,6.3,5.2,8.8,0
45,2023,6,16,0,7.9,9.6,7.1,6.26,8.28125,8.1725,10.0,7.8,6.3,9.7,0
46,2022,5,17,-2,2.1,8.4,8.8,6.3,,7.083,5.0,2.8,2.8,0.7,1
46,2023,5,18,-3,4.4,7.4,7.1,2.52,6.5625,6.6275,2.5,2.8,3.0,7.3,1
47,2022,5,17,-2,2.1,6.3,7.9,7.5,,7.042,5.0,2.5,2.2,1.5,1
48,2022,5,15,0,8.1,8.4,6.7,7.5,,8.5,10.0,6.7,8.0,9.5,1
48,2023,6,16,0,7.7,8.4,6.7,6.26,7.65625,7.6275,10.0,8.3,5.7,9.0,1
49,2022,5,17,-2,3.9,7.4,7.5,7.5,,7.042,5.0,1.5,4.2,6.2,0
49,2023,8,18,0,,,,,,,10.0,,,,0
50,2022,5,18,-3,7.8,8.4,7.5,7.5,,7.542,2.5,6.5,7.3,9.7,1
51,2022,5,17,-2,5.0,7.6,8.8,7.5,,6.5,5.0,4.5,4.5,6.0,1
52,2022,5,13,2,6.2,8.9,9.6,7.5,,7.5,10.0,3.3,6.3,8.8,1
52,2023,5,14,1,6.4,9.8,10.0,2.52,8.125,8.2975,10.0,7.7,4.8,6.7,1
53,2022,5,17,-2,7.0,7.0,9.2,7.5,,6.458,5.0,6.0,8.0,,0
53,2023,6,18,-2,7.7,9.1,9.2,5.63,7.5,7.5875,5.0,7.3,6.5,9.2,1
54,2022,5,16,-1,4.8,6.9,7.9,7.5,,6.125,5.0,3.0,6.5,,1
55,2022,5,16,-1,7.5,7.6,7.1,5.6,,6.5,5.0,6.7,7.8,7.9,1
55,2023,6,17,-1,7.1,8.1,7.9,3.14,7.5,7.545,5.0,8.7,6.5,6.0,1
56,2022,5,15,0,7.0,10.0,10.0,7.5,,8.25,10.0,4.5,6.5,10.0,1
56,2023,6,16,0,7.8,9.5,9.6,5.0,8.125,7.8,10.0,7.8,5.5,10.0,1
57,2022,5,16,-1,8.4,8.1,7.1,5.6,,7.875,5.0,9.0,7.0,9.3,1
57,2023,6,17,-1,7.2,8.0,0.0,5.63,7.96875,7.755,5.0,7.8,6.8,7.0,1
58,2022,5,15,0,7.2,9.2,9.6,6.3,,8.125,10.0,4.5,8.0,9.0,0
58,2023,6,16,0,8.1,9.7,0.0,6.26,8.4375,8.3825,10.0,7.8,6.5,10.0,1
59,2022,5,17,-2,7.2,9.3,9.2,7.5,,7.917,5.0,7.0,5.7,8.8,0
59,2023,6,18,-2,7.2,9.6,7.5,5.63,8.28125,8.4225,5.0,7.7,6.8,7.2,1
60,2022,5,18,-3,4.9,6.0,6.7,7.5,,6.167,2.5,5.0,6.2,3.5,1
61,2022,5,15,0,5.8,7.4,9.2,7.5,,7.875,10.0,1.7,6.3,9.3,1
61,2023,6,16,0,6.2,7.0,8.3,6.26,7.96875,7.4625,10.0,6.7,4.3,7.5,1
62,2022,5,17,-2,9.3,9.4,8.8,7.5,,7.25,5.0,8.5,10.0,,1
62,2023,7,18,0,7.5,9.8,0.0,6.89,8.25,8.215,10.0,9.3,6.8,6.3,1
63,2022,5,16,-1,8.7,9.1,8.3,8.8,,9.417,5.0,8.2,8.2,9.7,1
63,2023,6,17,-1,8.7,9.0,6.7,6.89,8.75,8.9675,5.0,9.3,7.3,9.5,1
64,2022,5,16,-1,7.5,8.1,7.1,8.1,,8.25,5.0,4.8,8.2,9.4,1
64,2023,6,17,-1,6.7,9.2,7.5,6.89,7.34375,7.9625,5.0,7.0,6.0,7.2,1
65,2022,5,17,-2,9.3,7.7,8.3,7.5,,7.875,5.0,9.0,9.5,9.5,1
66,2022,5,17,-2,4.5,5.6,7.5,7.5,,5.917,5.0,3.0,6.0,,1
67,2022,5,16,-1,3.6,3.0,5.8,7.5,,6.889,5.0,3.0,4.2,3.5,1
68,2022,5,16,-1,4.0,6.0,8.3,7.5,,7.944,5.0,4.7,4.8,2.7,1
69,2022,5,16,-1,2.5,6.1,8.3,7.5,,6.167,5.0,4.7,2.6,0.3,1
70,2022,5,16,-1,2.9,6.6,8.8,5.0,,6.111,5.0,5.7,2.9,0.2,1
70,2023,5,17,-2,4.3,9.2,9.2,5.0,7.5,7.545,5.0,3.0,3.5,6.3,1
71,2022,5,17,-2,1.2,2.0,7.9,7.5,,5.833,5.0,1.3,2.2,0.0,0
71,2023,6,18,-2,6.6,9.8,6.7,6.26,7.5,7.7125,5.0,7.3,5.5,7.0,1
